rank,input_name,segment,resolved_name,code,industry_level1,industry_level2,industry_name,competitors_count,top5_count,suppliers_count,customers_count,elapsed_sec,ok,error
34,长川科技,集成电路设计/设备/材料相关,长川科技有限公司,,综合,综合行业,综合行业,0,0,0,0,32.09,True,
35,中科飞测,集成电路设计/设备/材料相关,中科飞测,688361,工业,半导体制造,半导体制造,12,5,0,0,26.12,True,
36,雅克科技,集成电路设计/设备/材料相关,雅克科技有限公司,,综合,综合行业,综合行业,0,0,0,0,26.49,True,
37,鼎龙股份,集成电路设计/设备/材料相关,鼎龙股份有限公司,,综合,综合行业,综合行业,0,0,0,0,17.96,True,
38,天岳先进,集成电路设计/设备/材料相关,天岳先进科技股份有限公司,,战略性新兴产业,新材料,新材料,0,0,0,0,13.5,True,
39,南大光电,集成电路设计/设备/材料相关,南大光电有限公司,,综合,综合行业,综合行业,0,0,0,0,15.62,True,
40,佰维存储,集成电路设计/设备/材料相关,佰维存储有限公司,,综合,综合行业,综合行业,0,0,0,0,15.73,True,
41,乐鑫科技,集成电路设计/设备/材料相关,乐鑫科技有限公司,,综合,综合行业,综合行业,0,0,0,0,10.96,True,
42,地平线,集成电路设计/设备/材料相关,地平线机器人-W,09660,综合,综合行业,综合行业,0,0,0,0,13.88,True,
43,紫光展锐,集成电路设计/设备/材料相关,紫光展锐有限公司,,综合,综合行业,综合行业,0,0,0,0,19.06,True,
44,复旦微电,集成电路设计/设备/材料相关,复旦微电有限公司,,综合,综合行业,综合行业,0,0,0,0,18.5,True,
45,上海贝岭,集成电路设计/设备/材料相关,上海贝岭有限公司,,综合,综合行业,综合行业,0,0,0,0,19.29,True,
46,捷捷微电,集成电路设计/设备/材料相关,捷捷微电有限公司,,综合,综合行业,综合行业,0,0,0,0,18.53,True,
47,国博电子,集成电路设计/设备/材料相关,国博电子有限公司,,综合,综合行业,综合行业,0,0,0,0,28.36,True,
48,芯源微,集成电路设计/设备/材料相关,芯源微电子设备有限公司,,综合,综合行业,综合行业,0,0,0,0,15.5,True,
